#Firmware: Speeduino 2021.04-dev

MARK 000
MARK 001
1.0,0.0,1.0,0.0,32357.225,32357.225,NaN,32357.225
1.0,1.0,1.0,0.0,32363.076,32363.076,5.852,32363.076
0.0,1.0,0.0,0.0,32363.732,32363.732,0.656,32363.732
0.0,0.0,1.0,0.0,32365.812,32365.812,2.08,32365.812
0.0,1.0,1.0,0.0,32371.668,32371.668,5.856,32371.668
0.0,0.0,1.0,0.0,32376.393,32376.393,4.724,32376.393
0.0,1.0,1.0,0.0,32381.584,32381.584,5.192,32381.584
0.0,0.0,1.0,0.0,32387.568,32387.568,5.984,32387.568
1.0,0.0,0.0,0.0,32391.707,32391.707,4.14,32391.707
0.0,0.0,0.0,0.0,32408.129,32408.129,16.42,32408.129
1.0,0.0,0.0,0.0,32416.14,32416.14,8.012,32416.14
0.0,0.0,0.0,0.0,32427.768,32427.768,11.628,32427.768
0.0,1.0,1.0,0.0,32431.38,32431.38,3.612,32431.38
1.0,1.0,0.0,1.0,32433.877,32433.877,2.496,32433.877
0.0,1.0,0.0,1.0,32444.531,32444.531,10.656,32444.531
1.0,1.0,0.0,1.0,32450.104,32450.104,5.572,32450.104
0.0,1.0,0.0,1.0,32460.064,32460.064,9.96,32460.064
1.0,1.0,0.0,1.0,32465.523,32465.523,5.46,32465.523
1.0,0.0,1.0,1.0,32469.297,32469.297,3.772,32469.297
0.0,0.0,0.0,1.0,32475.572,32475.572,6.276,32475.572
1.0,0.0,0.0,1.0,32481.26,32481.26,5.688,32481.26
0.0,0.0,0.0,1.0,32491.855,32491.855,10.596,32491.855
1.0,0.0,0.0,1.0,32498.045,32498.045,6.188,32498.045
1.0,1.0,1.0,1.0,32501.14,32501.14,3.096,32501.14
0.0,1.0,0.0,1.0,32509.115,32509.115,7.976,32509.115
1.0,1.0,0.0,1.0,32515.287,32515.287,6.172,32515.287
1.0,0.0,1.0,1.0,32539.98,32539.98,24.692,32539.98
0.0,0.0,0.0,1.0,32540.955,32540.955,0.976,32540.955
1.0,0.0,0.0,1.0,32545.904,32545.904,4.948,32545.904
0.0,0.0,0.0,1.0,32553.305,32553.305,7.4,32553.305
1.0,0.0,0.0,1.0,32557.36,32557.36,4.056,32557.36
0.0,0.0,0.0,1.0,32563.896,32563.896,6.536,32563.896
0.0,1.0,1.0,1.0,32565.576,32565.576,1.68,32565.576
1.0,1.0,0.0,1.0,32567.52,32567.52,1.944,32567.52
0.0,1.0,0.0,1.0,32572.996,32572.996,5.476,32572.996
1.0,1.0,0.0,1.0,32576.424,32576.424,3.428,32576.424
0.0,1.0,0.0,1.0,32582.412,32582.412,5.988,32582.412
1.0,1.0,0.0,1.0,32585.455,32585.455,3.044,32585.455
1.0,0.0,1.0,1.0,32589.332,32589.332,3.876,32589.332
0.0,0.0,0.0,1.0,32591.068,32591.068,1.736,32591.068
1.0,0.0,0.0,1.0,32594.164,32594.164,3.096,32594.164
