#Firmware: Speeduino 2021.04-dev

0.0,1.0,0.0,0.0,48120.547,48120.547,NaN,48120.547
1.0,1.0,0.0,0.0,48120.566,48120.566,0.02,48120.566
0.0,1.0,0.0,0.0,48120.938,48120.938,0.368,48120.938
1.0,1.0,0.0,0.0,48120.96,48120.96,0.024,48120.96
1.0,1.0,0.0,1.0,48123.383,48123.383,2.424,48123.383
1.0,1.0,0.0,1.0,48123.402,48123.402,0.02,48123.402
1.0,1.0,0.0,1.0,48124.63,48124.63,1.224,48124.63
1.0,1.0,0.0,1.0,48124.652,48124.652,0.024,48124.652
1.0,1.0,0.0,0.0,48301.57,48301.57,176.92,48301.57
1.0,1.0,0.0,0.0,48301.594,48301.594,0.02,48301.594
1.0,1.0,0.0,0.0,48537.395,48537.395,235.804,48537.395
1.0,1.0,0.0,0.0,48537.434,48537.434,0.036,48537.434
1.0,1.0,0.0,0.0,48537.453,48537.453,0.02,48537.453
1.0,1.0,0.0,1.0,48537.62,48537.62,0.168,48537.62
0.0,1.0,0.0,1.0,48537.668,48537.668,0.048,48537.668
1.0,1.0,0.0,1.0,48537.69,48537.69,0.024,48537.69
1.0,1.0,0.0,1.0,48538.094,48538.094,0.4,48538.094
1.0,1.0,0.0,1.0,48538.113,48538.113,0.02,48538.113
0.0,1.0,0.0,1.0,48539.297,48539.297,1.184,48539.297
1.0,1.0,0.0,1.0,48539.316,48539.316,0.02,48539.316
1.0,1.0,0.0,0.0,48824.773,48824.773,285.456,48824.773
1.0,1.0,0.0,0.0,48824.793,48824.793,0.02,48824.793
0.0,1.0,0.0,0.0,48824.895,48824.895,0.104,48824.895
1.0,1.0,0.0,0.0,48824.914,48824.914,0.02,48824.914
1.0,1.0,0.0,1.0,48824.992,48824.992,0.076,48824.992
1.0,1.0,0.0,1.0,48825.01,48825.01,0.02,48825.01
0.0,1.0,0.0,0.0,48961.355,48961.355,136.344,48961.355
1.0,0.0,0.0,0.0,48961.375,48961.375,0.02,48961.375
1.0,0.0,1.0,0.0,48961.395,48961.395,0.02,48961.395
1.0,1.0,1.0,0.0,48962.74,48962.74,1.344,48962.74
1.0,1.0,0.0,0.0,48977.973,48977.973,15.232,48977.973
1.0,1.0,0.0,0.0,48977.992,48977.992,0.02,48977.992
1.0,1.0,0.0,1.0,48978.547,48978.547,0.556,48978.547
1.0,1.0,0.0,1.0,48978.566,48978.566,0.02,48978.566
1.0,1.0,0.0,1.0,48981.9,48981.9,3.332,48981.9
