#Firmware: Speeduino 2025.01.2
ToothTime,Time
uS,uS
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
48492.0,48492.0
34176.0,82668.0
56660.0,139328.0
28084.0,167412.0
20180.0,187592.0
17052.0,204644.0
39852.0,244496.0
50476.0,294972.0
37172.0,332144.0
35476.0,367620.0
23124.0,390744.0
47012.0,437756.0
34484.0,472240.0
20384.0,492624.0
35988.0,528612.0
45052.0,573664.0
33740.0,607404.0
32968.0,640372.0
21556.0,661928.0
43888.0,705816.0
22076.0,727892.0
16612.0,744504.0
14684.0,759188.0
34332.0,793520.0
43192.0,836712.0
32696.0,869408.0
32512.0,901920.0
21104.0,923024.0
42852.0,965876.0
32308.0,998184.0
19452.0,1017636.0
34140.0,1051776.0
42544.0,1094320.0
32388.0,1126708.0
31900.0,1158608.0
20652.0,1179260.0
42340.0,1221600.0
21432.0,1243032.0
16240.0,1259272.0
14372.0,1273644.0
33624.0,1307268.0
42092.0,1349360.0
32204.0,1381564.0
32060.0,1413624.0
20784.0,1434408.0
42052.0,1476460.0
31868.0,1508328.0
19236.0,1527564.0
33936.0,1561500.0
42024.0,1603524.0
32116.0,1635640.0
31556.0,1667196.0
20584.0,1687780.0
41876.0,1729656.0
21236.0,1750892.0
15932.0,1766824.0
14340.0,1781164.0
33440.0,1814604.0
41868.0,1856472.0
31992.0,1888464.0
32060.0,1920524.0
20664.0,1941188.0
41964.0,1983152.0
31800.0,2014952.0
19256.0,2034208.0
33796.0,2068004.0
42000.0,2110004.0
32000.0,2142004.0
31676.0,2173680.0
20552.0,2194232.0
41876.0,2236108.0
21136.0,2257244.0
15980.0,2273224.0
14300.0,2287524.0
33304.0,2320828.0
41632.0,2362460.0
32036.0,2394496.0
31936.0,2426432.0
20656.0,2447088.0
41980.0,2489068.0
31784.0,2520852.0
19224.0,2540076.0
33844.0,2573920.0
41984.0,2615904.0
31888.0,2647792.0
31792.0,2679584.0
20592.0,2700176.0
41680.0,2741856.0
21060.0,2762916.0
16012.0,2778928.0
14300.0,2793228.0
33456.0,2826684.0
41672.0,2868356.0
31788.0,2900144.0
32140.0,2932284.0
20628.0,2952912.0
41872.0,2994784.0
31788.0,3026572.0
19228.0,3045800.0
33856.0,3079656.0
42008.0,3121664.0
31852.0,3153516.0
31812.0,3185328.0
20548.0,3205876.0
0.0,3205876.0
0.0,3205876.0
0.0,3205876.0
0.0,3205876.0
0.0,3205876.0
0.0,3205876.0
0.0,3205876.0
0.0,3205876.0
0.0,3205876.0
0.0,3205876.0
0.0,3205876.0
0.0,3205876.0
0.0,3205876.0
0.0,3205876.0
0.0,3205876.0
0.0,3205876.0
0.0,3205876.0
0.0,3205876.0
0.0,3205876.0
MARK 000
21084.0,3226960.0
16064.0,3243024.0
14296.0,3257320.0
33384.0,3290704.0
41732.0,3332436.0
32032.0,3364468.0
31880.0,3396348.0
20632.0,3416980.0
41892.0,3458872.0
31940.0,3490812.0
19280.0,3510092.0
33728.0,3543820.0
42104.0,3585924.0
32064.0,3617988.0
31712.0,3649700.0
20624.0,3670324.0
42032.0,3712356.0
21244.0,3733600.0
15992.0,3749592.0
14364.0,3763956.0
33392.0,3797348.0
41844.0,3839192.0
31928.0,3871120.0
32092.0,3903212.0
20688.0,3923900.0
42100.0,3966000.0
31896.0,3997896.0
19268.0,4017164.0
33880.0,4051044.0
41980.0,4093024.0
32076.0,4125100.0
31904.0,4157004.0
20680.0,4177684.0
42124.0,4219808.0
21300.0,4241108.0
16000.0,4257108.0
14384.0,4271492.0
33408.0,4304900.0
41740.0,4346640.0
31996.0,4378636.0
31972.0,4410608.0
20628.0,4431236.0
41976.0,4473212.0
31880.0,4505092.0
19264.0,4524356.0
33928.0,4558284.0
42104.0,4600388.0
32072.0,4632460.0
31844.0,4664304.0
20656.0,4684960.0
41880.0,4726840.0
21192.0,4748032.0
16200.0,4764232.0
14296.0,4778528.0
33556.0,4812084.0
42004.0,4854088.0
32040.0,4886128.0
32072.0,4918200.0
20740.0,4938940.0
42156.0,4981096.0
31928.0,5013024.0
19284.0,5032308.0
33916.0,5066224.0
42260.0,5108484.0
32188.0,5140672.0
31964.0,5172636.0
20708.0,5193344.0
42248.0,5235592.0
21232.0,5256824.0
16140.0,5272964.0
14476.0,5287440.0
33728.0,5321168.0
42228.0,5363396.0
32056.0,5395452.0
32296.0,5427748.0
20716.0,5448464.0
47828.0,5496292.0
0.0,5496292.0
0.0,5496292.0
57092.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
0.0,5553384.0
MARK 001
